fund_code,fund_name,balanced_return,balanced_xirr,opportunistic_return,aggressive_return,hardcore_return,best_strategy,weeks
145552,Motilal Oswal Nasdaq 100 Fund of Fund- Direct Plan Growth,86.51027083598152,25.658918631756023,91.98258964971814,98.46962588258201,101.94499991064352,Hardcore,261
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,82.57056965878415,24.75366598540768,88.14210730570213,94.74937502864061,98.29241461553347,Hardcore,261
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,69.83696853018637,21.704122374121205,74.27949334602705,79.54535399166379,82.36595922579436,Hardcore,261
147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,68.25094312243121,21.310135862005534,72.84838135569133,78.30397714148837,81.23381495869303,Hardcore,261
119597,Sundaram Financial Services Opportunities Fund Direct Plan - Growth,60.69997879649801,19.387631687739397,65.44480895715445,71.07419924459377,74.09599172262814,Hardcore,261
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,61.325821119046445,19.5500120635549,65.19124843610176,69.77960416327153,72.24545458308545,Hardcore,261
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,58.659220377327,18.854172719071403,62.23745026904049,66.47872830473142,68.75039259572246,Hardcore,261
125354,Axis Small Cap Fund - Direct Plan - Growth,58.42579200709481,18.792762465189476,61.75432072583851,65.70082379456674,67.816091992631,Hardcore,261
147623,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,54.64889486079622,17.78768016132808,58.89678944591446,63.92463416941537,66.60864886538688,Hardcore,261
120505,Axis Midcap Fund - Direct Plan - Growth,55.462466814396564,18.0060307836073,58.99363369972412,63.186061805187464,65.44018777213904,Hardcore,261
120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,55.23661943012087,17.945519844980197,58.22415360374754,61.77500027166998,63.68895666194708,Hardcore,261
135781,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,52.40597438807815,17.18032152736378,55.49021159144636,59.14906419143118,61.11263853559002,Hardcore,261
118551,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - Growth,48.78061016945793,16.18138661527249,52.92971734730805,57.85017178746923,60.488737749231156,Hardcore,261
118550,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - IDCW,48.78061016945793,16.18138661527249,52.92971734730805,57.85017178746923,60.488737749231156,Hardcore,261
118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth,50.89328940973794,16.766145503837915,53.94024054415398,57.55569487153647,59.49701615426471,Hardcore,261
125496,SBI Small Cap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),44.902806573247915,15.088301081407554,47.892972235954076,51.44342210077441,53.35279198468439,Hardcore,261
125497,SBI Small Cap Fund - Direct Plan - Growth,44.900836531700264,15.087739080258727,47.890940464952045,51.44131857980656,53.35065179788803,Hardcore,261
125307,PGIM India Midcap Fund - Direct Plan - Growth Option,46.27804101854608,15.478945181705441,48.677389184432165,51.53321627268726,53.07759854107219,Hardcore,261
119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,43.10826605528258,14.573480646542878,45.90425700560218,49.22360766370096,51.00802472171061,Hardcore,261
125494,SBI Small Cap Fund - Regular Plan - Growth,40.999020048735154,13.960857346340417,43.81905052846516,47.16771626176341,48.96885609667543,Hardcore,261
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,41.890311895723606,14.220735328803341,44.33760187263939,47.243593992969394,48.80655915640963,Hardcore,261
120716,UTI Nifty 50 Index Fund - Growth Option- Direct,40.376284046853215,13.778399012215434,42.86617641102762,45.824296418405225,47.417211080972756,Hardcore,261
119063,HDFC Nifty 50 Index Fund - Direct Plan,40.2227598105789,13.733304560168078,42.7083442353019,45.661314805248814,47.25141760005429,Hardcore,261
119596,Sundaram Financial Services Opportunities Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),37.460708064797956,12.914268374111524,40.47070820552957,44.04788350577949,45.97556815463692,Hardcore,261
119065,HDFC BSE Sensex Index Fund - Direct Plan,37.552366280076626,12.941686483143618,39.94303709952094,42.78389303876325,44.31442714603089,Hardcore,261
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,37.472774023924636,12.917878663755635,39.83771798601305,42.644028953243954,44.15102093388066,Hardcore,261
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,35.3968409683552,12.292457459986366,38.244738419966254,41.62983584178796,43.45471975706118,Hardcore,261
120465,Axis Large Cap Fund - Direct Plan - Growth,34.02154252600196,11.873301172571567,36.43630960512143,39.30600570315918,40.85233374401619,Hardcore,261
118826,Mirae Asset Large Cap Fund Direct IDCW,32.55342930054765,11.421516840264376,34.599929245094515,37.0317450749396,38.341832650501495,Hardcore,261
120587,ICICI Prudential FMCG Fund - Direct Plan -  Growth,25.60519955875325,9.219417709866448,27.180120758186447,29.054471364572652,30.067838641180693,Hardcore,261
118835,Mirae Asset Large & Midcap Fund - Direct Plan - IDCW,23.542077306640476,8.54410054415796,25.26694867442949,27.318535694889384,28.42621074829024,Hardcore,261
118552,Franklin India Credit Risk Fund - Direct - IDCW ,8.79557511789255,6.78822454724456,8.51160620153285,8.233256779262819,8.106854336000382,Balanced,133
