date,pe
2019-04-05,34.39
2019-04-08,34.28
2019-04-09,34.24
2019-04-10,34.25
2019-04-11,34.28
2019-04-12,34.48
2019-04-15,34.64
2019-04-16,34.74
2019-04-18,34.33
2019-04-22,33.82
2019-04-23,33.72
2019-04-24,33.91
2019-04-25,33.91
2019-04-26,33.87
2019-04-30,33.48
2019-05-02,32.26
2019-05-03,32.21
2019-05-06,31.95
2019-05-07,31.68
2019-05-08,31.22
2019-05-09,31.11
2019-05-10,30.84
2019-05-13,29.68
2019-05-14,29.81
2019-05-15,29.56
2019-05-16,29.6
2019-05-17,29.73
2019-05-20,30.79
2019-05-21,30.64
2019-05-22,30.29
2019-05-23,29.84
2019-05-24,30.57
2019-05-27,30.69
2019-05-28,30.78
2019-05-29,32.19
2019-05-30,32.26
2019-05-31,42.89
2019-06-03,42.94
2019-06-04,42.92
2019-06-06,42.22
2019-06-07,42.18
2019-06-10,41.9
2019-06-11,41.97
2019-06-12,41.81
2019-06-13,41.58
2019-06-14,41.32
2019-06-17,40.45
2019-06-18,40.25
2019-06-19,39.7
2019-06-20,40.15
2019-06-21,40.14
2019-06-24,40.12
2019-06-25,40.29
2019-06-26,40.44
2019-06-27,40.76
2019-06-28,34.66
2019-07-01,34.83
2019-07-02,34.78
2019-07-03,34.87
2019-07-04,34.98
2019-07-05,34.53
2019-07-08,33.79
2019-07-09,33.8
2019-07-10,33.56
2019-07-11,33.68
2019-07-12,33.72
2019-07-15,33.44
2019-07-16,33.44
2019-07-17,33.59
2019-07-18,33.24
2019-07-19,32.68
2019-07-22,32.25
2019-07-23,32.38
2019-07-24,31.92
2019-07-25,32.02
2019-07-26,32.07
2019-07-29,31.74
2019-07-30,31.24
2019-07-31,31.25
2019-08-01,30.89
2019-08-02,30.75
2019-08-05,30.18
2019-08-06,30.7
2019-08-07,29.78
2019-08-08,29.86
2019-08-09,29.8
2019-08-13,29.47
2019-08-14,29.72
2019-08-16,29.99
2019-08-19,30.66
2019-08-20,30.51
2019-08-21,29.96
2019-08-22,29.31
2019-08-23,29.49
2019-08-26,30.1
2019-08-27,30.55
2019-08-28,30.37
2019-08-29,30.12
2019-08-30,30.39
2019-09-03,29.94
2019-09-04,29.99
2019-09-05,30.14
2019-09-06,30.47
2019-09-09,30.57
2019-09-11,30.84
2019-09-12,31.1
2019-09-13,31.28
2019-09-16,31.4
2019-09-17,30.9
2019-09-18,30.95
2019-09-19,30.51
2019-09-20,31.56
2019-09-23,32.58
2019-09-24,31.26
2019-09-25,27.23
2019-09-26,27.37
2019-09-27,51.75
2019-09-30,51.16
2019-10-01,50.29
2019-10-03,50.06
2019-10-04,49.61
2019-10-07,49.09
2019-10-09,49.4
2019-10-10,49.14
2019-10-11,49.3
2019-10-14,49.3
2019-10-15,49.27
2019-10-16,49.37
2019-10-17,49.85
2019-10-18,50.79
2019-10-22,51.26
2019-10-23,51.32
2019-10-24,51.07
2019-10-25,50.86
2019-10-27,51.43
2019-10-29,51.75
2019-10-30,52.08
2019-10-31,52.43
2019-11-01,52.74
2019-11-04,52.97
2019-11-05,63.53
2019-11-06,63.24
2019-11-07,63.56
2019-11-08,63.26
2019-11-11,63.32
2019-11-13,62.64
2019-11-14,62.64
2019-11-15,62.51
2019-11-18,62.63
2019-11-19,62.8
2019-11-20,62.83
2019-11-21,62.65
2019-11-22,62.66
2019-11-25,63.2
2019-11-26,62.92
2019-11-27,62.96
2019-11-28,63.35
2019-11-29,63.8
2019-12-02,63.34
2019-12-03,62.83
2019-12-04,63.06
2019-12-05,63.14
2019-12-06,62.49
2019-12-09,62.16
2019-12-10,61.59
2019-12-11,61.42
2019-12-12,61.75
2019-12-13,62.27
2019-12-16,54.65
2019-12-17,55.03
2019-12-18,55.04
2019-12-19,55.04
2019-12-20,55.08
2019-12-23,55.08
2019-12-24,55.1
2019-12-26,49.11
2019-12-27,48.9
2019-12-30,49.3
2019-12-31,49.53
2020-01-01,49.89
2020-01-02,50.7
2020-01-03,50.81
2020-01-06,49.84
2020-01-07,50.44
2020-01-08,50.43
2020-01-09,51.37
2020-01-10,51.71
2020-01-13,52.21
2020-01-14,51.8
2020-01-15,52.29
2020-01-16,54.35
2020-01-17,54.56
2020-01-20,53.32
2020-01-21,51.69
2020-01-22,51.4
2020-01-23,51.62
2020-01-24,51.84
2020-01-27,90.14
2020-01-28,90.81
2020-01-29,90.58
2020-01-30,88.68
2020-01-31,88.63
2020-02-01,86.4
2020-02-03,87.11
2020-02-04,95.95
2020-02-05,94.51
2020-02-06,94.02
2020-02-07,91.92
2020-02-10,91.33
2020-02-11,88.77
2020-02-12,88.29
2020-02-13,95.94
2020-02-14,95.5
2020-02-17,101.37
2020-02-18,100.86
2020-02-19,102.22
2020-02-20,102.63
2020-02-24,92.65
2020-02-25,92.39
2020-02-26,88.87
2020-02-27,87.99
2020-02-28,84.63
2020-03-02,83.67
2020-03-03,84.64
2020-03-04,83.32
2020-03-05,83.69
2020-03-06,81.76
2020-03-09,77.95
2020-03-11,77.32
2020-03-12,70.48
2020-03-13,70.95
2020-03-16,67.1
2020-03-17,65.57
2020-03-18,61.58
2020-03-19,57.08
2020-03-20,58.37
2020-03-23,51.12
2020-03-24,50.63
2020-03-25,51.89
2020-03-26,53.69
2020-03-27,54.17
2020-03-30,52.91
2020-03-31,54.62
2020-04-01,54.09
2020-04-03,53.49
2020-04-07,55.35
2020-04-08,56.29
2020-04-09,58.22
2020-04-13,57.98
2020-04-15,58.6
2020-04-16,59.79
2020-04-17,61.58
2020-04-20,61.99
2020-04-21,59.76
2020-04-22,60.03
2020-04-23,60.83
2020-04-24,59.68
2020-04-27,60.17
2020-04-28,60.6
2020-04-29,61.15
2020-04-30,61.58
2020-05-04,59.56
2020-05-05,58.82
2020-05-06,58.93
2020-05-07,58.51
2020-05-08,59.33
