date,pe,index_value,earnings,earnings_yoy
2021-01-18,42.94,54.9495,1.2796809501630182,56.68444804199246
2021-01-19,43.85,55.7284,1.2708871151653363,55.427092984268356
2021-01-20,43.81,55.9987,1.2782173019858478,53.62406099896404
2021-01-21,42.15,55.6336,1.3198956109134046,54.18135581188264
2021-01-22,41.76,55.139,1.3203783524904216,53.57058203337104
2021-01-25,41.51,54.5016,1.3129751867019996,52.48330439515214
2021-01-27,41.23,54.245,1.315668202764977,53.04303255740199
2021-01-28,41.33,54.0773,1.3084272925235907,164.90344465849054
2021-01-29,40.95,53.9911,1.3184639804639804,169.20314524353594
2021-02-01,40.42,55.2887,1.3678550222662047,177.39785765399648
2021-02-02,40.77,55.8121,1.3689502084866323,174.72562060375787
2021-02-03,41.28,56.7949,1.375845445736434,176.45921133852696
2021-02-04,41.39,57.6133,1.391961826528147,172.66018974256926
2021-02-05,41.56,58.1143,1.3983229066410008,181.9111977149956
2021-02-08,41.76,59.1998,1.4176197318007664,209.94996722384687
2021-02-09,40.4,59.1074,1.4630544554455445,212.45373657558284
2021-02-10,40.38,59.3624,1.470094105993066,210.54139371420493
2021-02-11,40.6,60.3859,1.4873374384236453,206.73425247052825
2021-02-12,40.47,60.4006,1.492478379046207,207.54177483380656
2021-02-15,40.55,60.743,1.4979778051787918,199.18505366236556
2021-02-16,41.02,60.8337,1.4830253534861042,194.016896139742
2021-02-17,41.17,61.2674,1.4881564245810055,221.1371592897282
2021-02-18,41.52,61.5803,1.4831478805394989,218.62146341970416
2021-02-19,41.18,61.1359,1.484601748421564,241.26647551400367
2021-02-22,40.78,60.4374,1.48203531142717,239.52382809748917
2021-02-23,41.14,60.804,1.4779776373359261,237.92660328104924
2021-02-24,41.66,61.5004,1.4762457993278926,237.1949950258206
2021-02-25,42.34,62.0977,1.4666438356164384,207.81134924559072
2021-02-26,41.95,61.462,1.465125148986889,206.0888862342079
2021-03-01,42.72,62.7583,1.469061329588015,197.76255342164393
2021-03-02,43.22,64.0334,1.481568718186025,200.12784704170596
2021-03-03,44.08,64.69,1.4675589836660616,197.87557000141214
2021-03-04,44.5,65.2266,1.4657662921348316,195.6037274765388
2021-03-05,43.83,64.0828,1.4620762035135755,195.7070075088928
2021-03-08,44.13,64.3105,1.4572966236120553,195.13684600812434
2021-03-09,43.75,64.3209,1.470192,197.193214817105
2021-03-10,44.22,65.0005,1.4699344188150159,194.72441575252083
2021-03-12,44.37,65.1094,1.4674194275411314,193.4951810251355
2021-03-15,44.04,64.7533,1.4703292461398727,193.54572811117126
2021-03-16,44.16,65.0436,1.4729076086956523,191.014039753503
2021-03-17,43.18,63.5226,1.4711116257526633,187.73203137998266
2021-03-18,42.56,62.608,1.4710526315789472,187.27148571887216
2021-03-19,42.75,62.9917,1.4734900584795323,188.43401837329588
2021-03-22,42.85,63.273,1.4766161026837807,189.4486998311859
2021-03-23,43.15,63.851,1.4797450753186558,179.86696122991677
2021-03-24,42.33,62.8858,1.485608315615403,181.04658793902658
2021-03-25,41.52,61.7086,1.4862379576107898,180.48229975510588
2021-03-26,42.01,62.5491,1.4889097833849085,181.04053361957244
2021-03-30,42.54,63.3914,1.4901598495533614,179.61377953758566
2021-03-31,43.3,63.935,1.4765588914549654,176.34394958873204
2021-04-01,44.16,64.9797,1.4714605978260868,175.48756327975977
2021-04-05,43.46,64.0751,1.4743465255407273,177.36949685984573
2021-04-06,43.93,64.6124,1.470803551104029,175.61261689968077
2021-04-07,44.54,65.4634,1.4697665020206554,177.00716073205896
2021-04-08,45.01,66.0653,1.4677916018662518,176.1906819755506
2021-04-09,45.25,66.3294,1.465843093922652,172.43135106447875
2021-04-12,42.81,63.2106,1.4765381920112122,173.77886313520276
2021-04-13,43.53,63.9933,1.4700964851826326,170.7416532775739
2021-04-15,43.39,63.8082,1.47057386494584,172.48863144937104
2021-04-16,43.76,64.54,1.4748628884826327,175.79318539097534
2021-04-19,43.14,63.7685,1.4781757070004637,177.01547598938618
2021-04-20,43.42,64.0918,1.4760893597420544,178.60730274880137
2021-04-22,43.74,64.5696,1.4762139917695472,177.0099238379609
2021-04-23,41.97,64.8459,1.5450536097212295,188.29101152740822
2021-04-26,42.29,65.3961,1.5463726649326084,187.28789238676683
2021-04-27,42.62,66.1876,1.552970436414829,188.7342070106213
2021-04-28,42.9,66.9318,1.5601818181818181,189.40839057812556
2021-04-29,48.15,67.1829,1.3952834890965733,157.4776962158988
2021-04-30,48.01,67.2137,1.3999937513018121,159.0040368935551
2021-05-03,47.41,68.5099,1.4450516768614219,165.81508901144883
2021-05-04,46.47,67.9539,1.462317624273725,168.74757679051896
