date,pe,index_value,earnings,earnings_yoy
2010-12-06,23.88,5992.25,250.9317420435511,
2010-12-07,23.82,5976.5498046875,250.90469373163307,
2010-12-08,23.53,5903.7001953125,250.90098577613682,
2010-12-09,22.98,5766.5,250.93559617058312,
2010-12-10,23.35,5857.35009765625,250.85011124866165,
2010-12-13,23.58,5907.64990234375,250.5364674446035,
2010-12-14,23.72,5944.10009765625,250.59443919292792,
2010-12-15,23.51,5892.2998046875,250.62951104583155,
2010-12-16,23.74,5948.75,250.5791912384162,
2010-12-20,23.73,5947.0498046875,250.61313968341761,
2010-12-21,23.95,6000.64990234375,250.5490564652923,
2010-12-22,23.88,5984.39990234375,250.60301098591918,
2010-12-23,23.86,5980.0,250.628667225482,
2010-12-24,23.99,6011.60009765625,250.58774896441227,
2010-12-27,23.94,5998.10009765625,250.54720541588344,
2010-12-28,23.93,5996.0,250.5641454241538,
2010-12-29,24.19,6060.35009765625,250.53121528136626,
2010-12-30,24.35,6101.85009765625,250.58932639245378,
2010-12-31,24.48,6134.5,250.5923202614379,
2011-01-03,24.57,6157.60009765625,250.61457458918397,
2011-01-04,24.53,6146.35009765625,250.56461873853445,
2011-01-05,24.26,6079.7998046875,250.61004965735776,
2011-01-06,24.14,6048.25,250.54888152444076,
2011-01-07,23.56,5904.60009765625,250.61969854228568,
2011-01-10,23.01,5762.85009765625,250.4498086769339,
2011-01-11,22.98,5754.10009765625,250.39600076833116,
2011-01-12,23.41,5863.25,250.45920546774883,
2011-01-13,22.92,5751.89990234375,250.95549312145505,
2011-01-14,22.5,5654.5498046875,251.31332465277777,
2011-01-17,22.5,5654.75,251.32222222222222,
2011-01-18,22.66,5724.0498046875,252.60590488470874,
2011-01-19,22.51,5691.0498046875,252.82318101677032,
2011-01-20,22.59,5711.60009765625,252.83754305693893,
2011-01-21,22.41,5696.5,254.19455600178492,
2011-01-24,22.26,5743.25,258.007637017071,
2011-01-25,21.96,5687.39990234375,258.98906659124543,
2011-01-27,21.64,5604.2998046875,258.9787340428604,
2011-01-28,21.23,5512.14990234375,259.6396562573599,
2011-01-31,21.06,5505.89990234375,261.4387418016976,
2011-02-01,20.7,5417.2001953125,261.70049252717394,
2011-02-02,20.8,5432.0,261.15384615384613,
2011-02-03,21.16,5526.75,261.1885633270321,
2011-02-04,20.67,5395.75,261.0425737784228,
2011-02-07,20.69,5396.0,260.802319961334,
2011-02-08,20.35,5312.5498046875,261.0589584613022,
2011-02-09,20.12,5253.5498046875,261.1108252826789,
2011-02-10,20.01,5225.7998046875,261.1594105291104,
2011-02-11,20.34,5310.0,261.0619469026549,
2011-02-14,20.86,5456.0,261.55321188878236,
2011-02-15,20.96,5481.0,261.4980916030534,
2011-02-16,20.95,5481.7001953125,261.65633390513125,
2011-02-17,21.19,5546.4501953125,261.7484754748702,
2011-02-18,20.86,5458.9501953125,261.6946402354986,
2011-02-21,21.09,5518.60009765625,261.669042088964,
2011-02-22,20.9,5469.2001953125,261.6842198714115,
2011-02-23,20.82,5437.35009765625,261.1599470536143,
2011-02-24,20.15,5262.7001953125,261.1761883529777,
2011-02-25,20.31,5303.5498046875,261.1299756123831,
2011-02-28,20.42,5333.25,261.17776689520076,
2011-03-01,21.14,5522.2998046875,261.225156323912,
2011-03-03,21.2,5536.2001953125,261.14151864681605,
2011-03-04,21.21,5538.75,261.13861386138615,
2011-03-07,20.92,5463.14990234375,261.14483280801863,
2011-03-08,21.14,5520.7998046875,261.1542007893803,
2011-03-09,21.18,5531.0,261.14258734655334,
2011-03-10,21.04,5494.39990234375,261.14067976918966,
