date,pe,index_value,earnings,earnings_yoy
2010-12-06,20.49,2927.1962890625,142.85975056429967,
2010-12-07,20.38,2911.796875,142.87521467124634,
2010-12-08,20.01,2858.99951171875,142.8785363177786,
2010-12-09,19.18,2739.805908203125,142.8470233682547,
2010-12-10,19.48,2782.853759765625,142.85696918714706,
2010-12-13,19.88,2837.80078125,142.74651817152917,
2010-12-14,20.14,2874.998779296875,142.75068417561445,
2010-12-15,19.8,2825.70166015625,142.71220505839645,
2010-12-16,19.92,2843.00048828125,142.72090804624747,
2010-12-20,19.88,2838.55078125,142.78424452967806,
2010-12-21,20.08,2866.8994140625,142.77387520231574,
2010-12-22,20.04,2860.74951171875,142.7519716426522,
2010-12-23,19.93,2844.450439453125,142.72204914466258,
2010-12-24,20.05,2861.799560546875,142.73314516443267,
2010-12-27,19.87,2852.60009765625,143.5631654582914,
2010-12-28,19.8,2843.45068359375,143.60862038352272,
2010-12-29,19.95,2864.29931640625,143.57390057174186,
2010-12-30,20.03,2876.598876953125,143.6145220645594,
2010-12-31,20.32,2917.19677734375,143.56283353069637,
2011-01-03,20.6,2957.89453125,143.5871131674757,
2011-01-04,20.56,2951.69482421875,143.5649233569431,
2011-01-05,20.28,2912.64697265625,143.62164559448965,
2011-01-06,19.97,2867.94921875,143.61288025788684,
2011-01-07,19.39,2783.503662109375,143.55356689579034,
2011-01-10,18.9,2708.707763671875,143.31787109375,
2011-01-11,18.78,2690.758544921875,143.27787779136713,
2011-01-12,19.17,2746.95556640625,143.2945000733568,
2011-01-13,19.1,2736.55615234375,143.27519122218584,
2011-01-14,18.73,2688.05859375,143.51620895621997,
2011-01-17,18.56,2663.4599609375,143.50538582637392,
2011-01-18,18.7,2683.7587890625,143.5165127840909,
2011-01-19,18.63,2684.35888671875,144.0879703015969,
2011-01-20,18.75,2696.258056640625,143.8004296875,
2011-01-21,18.74,2691.50830078125,143.62370868629938,
2011-01-24,19.02,2725.456787109375,143.29425799733832,
2011-01-25,18.98,2713.407470703125,142.9614052003754,
2011-01-27,18.25,2625.81201171875,143.8801102311644,
2011-01-28,17.8,2548.31591796875,143.1638156162219,
2011-01-31,17.51,2553.515625,145.83184608794974,
2011-02-01,17.2,2503.968505859375,145.57956429414972,
2011-02-02,17.2,2509.26806640625,145.88767827943315,
2011-02-03,17.36,2532.4169921875,145.87655484951037,
2011-02-04,17.11,2493.718994140625,145.74628837759352,
2011-02-07,16.95,2470.570068359375,145.75634621589234,
2011-02-08,16.26,2382.82470703125,146.5451849342712,
2011-02-09,15.57,2282.18017578125,146.57547692878933,
2011-02-10,15.74,2307.528564453125,146.60283128672967,
2011-02-11,16.16,2369.37548828125,146.6197703144338,
2011-02-14,16.81,2449.371337890625,145.70918131413595,
2011-02-15,16.87,2458.920654296875,145.75700381131446,
2011-02-16,16.83,2453.071044921875,145.75585531324273,
2011-02-17,17.03,2482.5693359375,145.77623816426893,
2011-02-18,16.6,2421.272705078125,145.85980151073042,
2011-02-21,16.87,2461.220703125,145.89334339804387,
2011-02-22,16.69,2434.322021484375,145.85512411530107,
2011-02-23,16.5,2408.0732421875,145.9438328598485,
2011-02-24,15.83,2309.028564453125,145.8640912478285,
2011-02-25,15.77,2300.17919921875,145.85790736961002,
2011-02-28,15.86,2311.2783203125,145.7300328065889,
2011-03-01,16.48,2401.223876953125,145.70533233938866,
2011-03-03,16.5,2405.0234375,145.75899621212122,
2011-03-04,16.52,2408.123291015625,145.77017500094584,
2011-03-07,16.25,2367.675537109375,145.70310997596152,
2011-03-08,16.48,2401.57373046875,145.72656131485132,
2011-03-09,16.64,2424.422607421875,145.69847400371845,
2011-03-10,16.57,2415.173095703125,145.7557692035682,
2011-03-11,16.33,2379.425048828125,145.70882111623547,
2011-03-14,16.49,2402.82373046875,145.71399214486053,
2011-03-15,16.16,2355.276123046875,145.74728484200958,
2011-03-16,16.34,2381.9248046875,145.77263186582007,
2011-03-17,16.33,2379.974853515625,145.74248949881354,
2011-03-18,16.21,2363.025634765625,145.77579486524522,
2011-03-21,16.13,2351.12646484375,145.76109515460323,
2011-03-22,16.28,2372.725341796875,145.7447998646729,
2011-03-23,16.44,2395.97412109375,145.74051831470499,
2011-03-24,16.56,2413.123046875,145.71999075332127,
2011-03-25,16.77,2443.4716796875,145.7049302139237,
2011-03-28,16.86,2456.4208984375,145.6951897056643,
2011-03-29,16.89,2461.320556640625,145.72649832093694,
2011-03-30,17.22,2509.01806640625,145.70372046493904,
2011-03-31,17.19,2505.118408203125,145.73114649232838,
2011-04-01,17.41,2536.666748046875,145.70170867586876,
2011-04-04,17.66,2573.61474609375,145.7312993258069,
2011-04-05,17.91,2610.412841796875,145.751694126012,
2011-04-06,18.01,2624.712158203125,145.7363774682468,
2011-04-07,18.13,2642.711181640625,145.7645439404647,
2011-04-08,17.79,2592.4638671875,145.72590596894324,
2011-04-11,17.61,2559.265380859375,145.33023173534215,
2011-04-13,17.86,2594.963623046875,145.29471573610724,
2011-04-15,17.77,2582.26416015625,145.31593473023355,
2011-04-18,17.6,2546.066162109375,144.66285011985084,
2011-04-19,17.63,2551.365966796875,144.71729817339053,
2011-04-20,17.75,2587.513916015625,145.77543188820422,
2011-04-21,17.68,2590.663818359375,146.53075895697822,
2011-04-25,17.77,2605.81298828125,146.64113608785874,
2011-04-26,17.79,2612.0126953125,146.82477208052276,
2011-04-27,17.47,2609.61279296875,149.37680555058674,
2011-04-28,17.21,2571.61474609375,149.42560988342532,
2011-04-29,17.1,2544.916259765625,148.8255122669956,
2011-05-02,16.81,2513.718017578125,149.53706231874628,
2011-05-03,16.42,2459.62060546875,149.79419034523445,
2011-05-04,16.32,2445.121337890625,149.82361139035692,
2011-05-05,16.18,2423.2724609375,149.76962057710136,
2011-05-06,16.35,2458.920654296875,150.3927005686162,
2011-05-09,16.43,2454.620849609375,149.39871269685787,
2011-05-10,16.43,2455.220947265625,149.43523720423767,
2011-05-11,16.55,2483.519287109375,150.06158834497734,
2011-05-12,16.42,2463.520263671875,150.03168475468178,
2011-05-13,16.22,2496.5185546875,153.91606379084465,
2011-05-16,16.29,2480.7197265625,152.2848205379067,
2011-05-17,16.07,2461.570556640625,153.178006013729,
2011-05-18,15.95,2442.521484375,153.13614322100315,
2011-05-19,15.85,2427.622314453125,153.1622911326893,
2011-05-20,15.88,2441.921630859375,153.77340244706392,
2011-05-23,15.69,2409.773193359375,153.5865642676466,
2011-05-24,15.7,2410.473388671875,153.5333368580812,
2011-05-25,15.67,2407.323486328125,153.62625949764677,
2011-05-26,15.64,2402.173828125,153.5916769900895,
2011-05-27,16.17,2449.471435546875,151.48246354649814,
2011-05-30,16.32,2471.670166015625,151.45037781958487,
2011-05-31,16.27,2471.670166015625,151.91580614724185,
2011-06-01,16.39,2518.167724609375,153.64049570526998,
2011-06-02,16.26,2498.568603515625,153.66350575126845,
2011-06-03,16.25,2479.669677734375,152.59505709134615,
2011-06-06,16.39,2474.169921875,150.95606600823672,
2011-06-07,16.52,2493.868896484375,150.96058695425998,
2011-06-08,16.48,2490.069091796875,151.09642547311134,
2011-06-09,16.48,2490.119140625,151.09946241656553,
2011-06-10,16.39,2475.969970703125,151.06589205022118,
2011-06-13,16.46,2486.869140625,151.08561000151883,
2011-06-14,16.52,2495.6689453125,151.06954874773004,
2011-06-15,16.38,2474.31982421875,151.05737632593102,
2011-06-16,16.25,2455.120849609375,151.08435997596155,
2011-06-17,16.23,2438.671875,150.2570471349353,
2011-06-20,15.72,2361.475830078125,150.22110878359572,
2011-06-21,15.67,2353.92626953125,150.21865153358328,
2011-06-22,15.47,2321.22802734375,150.04706059106334,
2011-06-23,15.48,2321.577880859375,149.97273132166504,
2011-06-24,15.77,2365.42578125,149.9952936746988,
2011-06-27,15.95,2392.92431640625,150.02660290948276,
2011-06-28,16.04,2405.87353515625,149.99211565812033,
2011-06-29,16.08,2411.723388671875,149.98279780297733,
